X,moduleColor
LYZ,background
UBE3C,background
NAAA,background
LOC642073,background
AMY1A,background
MRPL16,background
KCTD5,background
LOC649143,background
APOBEC3A,background
LOC728698,background
CD55,background
LOC642113,background
TFG,background
EIF5,background
CAT,background
FCGR3B,background
LOC728855,background
LOC642934,background
CDK2AP1,background
PSCDBP,background
KBTBD2,background
SIGLEC14,background
CAST,background
NBPF3,background
ABCA1,background
IL18RAP,background
RPS23,background
HACL1,background
PGLYRP1,background
RGL4,background
C5ORF32,background
C19ORF59,background
TLR5,background
PI3,background
SLC12A9,background
MRPS6,background
NARF,background
CKAP4,background
SLC22A4,background
IL4R,background
PGS1,background
DCTD,background
ALPL,background
GABARAPL2,background
CREG1,background
BNIP3L,background
KAT2B,background
JAZF1,background
SNX3,background
KIAA0494,background
LOC645515,background
CCNDBP1,background
UROD,background
RNF14,background
RIOK3,background
C18ORF8,background
TMEM183B,background
NOL12,background
ZMAT2,background
OPTN,background
MGC3731,background
TMEM183A,background
MANBAL,background
TRAK2,background
UBE2H,background
TFDP1,background
YIPF6,background
EIF1,background
CWF19L1,background
LOC441481,background
RBM5,background
STOM,background
FIS1,background
PSME4,background
SLC2A1,background
NP,background
DBNDD2,background
MED6,background
TRIP12,background
NDUFB10,background
LOC653778,background
RNU6-1,background
RNU6-15,background
TMEM219,background
C19ORF60,background
VTI1B,background
TMEM120A,background
PPP6C,background
LOC654103,background
UBE2F,background
NCOA4,background
ZNF622,background
POLR1D,background
ASB8,background
WDR26,background
ANP32B,background
C6ORF153,background
CICE,background
ERCC5,background
NOP10,background
FAM20B,background
SERF2,background
FKBP11,background
DDA1,background
TRAPPC5,background
CDKN2D,background
RPL7A,background
SUMO2,background
LOC100130154,background
LOC728026,background
LOC644131,background
FASTK,background
METTL7A,background
GIMAP1,background
LOC136143,background
LOC729086,background
RPL23AP7,background
RPL37A,background
LOC441743,background
DDX17,background
LOC643949,background
IFP38,background
RPL14,background
LDHA,background
PNPT1,background
LOC400721,background
WDR23,background
C21ORF55,background
LOC100133177,background
SDHB,background
LOC731542,background
STAG3L2,background
MGC26356,background
FKTN,background
STAG3L3,background
LOC100128505,background
S100A9,background
FLJ12078,background
SLC44A4,background
LOC100133233,background
LOC100132740,background
ATPBD1B,background
GJC1,background
LOC100190938,background
FAM115A,background
AKR1D1,background
MLLT6,background
FAM153B,background
LOC389517,background
TRIM38,background
LOC728755,background
LOC643509,background
PDE4C,background
LOC646936,background
LOC642333,background
PDCD4,background
PDE7A,background
C21ORF24,background
RRAGA,background
FLJ38717,background
DOPEY2,background
NFATC2IP,background
LOC100130598,background
SPN,background
HS.92308,background
COX19,background
NELF,background
SAPS2,background
C4ORF34,background
AIRE,background
LLPH,background
C5ORF28,background
MLL5,background
LTA4H,background
LOC100131541,background
C9ORF130,background
MFSD11,background
CRCP,background
EVI5,background
PSMD12,background
LRRFIP1,background
LOC132241,background
SHCBP1,background
LOC100134053,background
TMEM137,background
GPR1,background
TMEM191A,background
LOC728620,background
SEMA3E,background
ZNF526,background
GVIN1,background
RINL,background
HS.572649,background
TDP1,background
DIS3L,background
EEF1A1,background
FAM120AOS,background
UCRC,background
LOC100134648,background
LOC729090,background
FAM126B,background
LOC644642,background
RN7SK,background
RN5S9,background
ZMAT3,background
LOC388969,background
FAM119A,background
CANX,background
MBTD1,background
EIF4G2,background
GIMAP4,background
LOC113386,background
SLC25A5,background
LOC100130835,background
HS.572219,background
LCOR,background
LOC730455,background
INTS12,background
ARPC2,background
RNY3,background
ZSCAN18,background
ATP5A1,background
PABPN1,background
HS.580797,background
HS.481659,background
ZBTB22,background
SLC25A3,background
NTAN1,background
ZNF281,background
HS.562875,background
XRCC5,background
BTF3,background
PRRG4,background
ZNF549,background
LOC643287,background
SNRNP40,background
PRDM8,background
CD96,background
CSAD,background
HS.542993,background
FAHD1,background
TRIM13,background
DUSP19,background
CD44,background
HBG1,background
LMO4,background
HBG2,background
UBAC1,background
HSPA4,background
TMEM156,background
AGAP8,background
HCG2P7,background
SYNJ2BP,background
LOC728650,background
ITFG1,background
RNF126,background
JTB,background
MT1X,background
RPLP1,background
TERF2IP,background
PPP1R14B,background
LOC441087,background
YTHDF2,background
CIAO1,background
LOC647389,background
HLA-DRA,background
KLHL28,background
MRP63,background
APRT,background
CTGLF3,background
HSPA8,background
LOC442727,background
NOL8,background
HSCB,background
LOC651894,background
TMED4,background
EIF3D,background
DNAJB11,background
PARP8,background
BTG2,background
C14ORF131,background
MGC16384,background
PLIN5,background
QARS,background
CDC42,background
LOC389342,background
MGC72104,background
NACA,background
EIF2B1,background
BCL2L13,background
RPS12,background
EDEM2,background
SDHAP2,background
POLR2J3,background
FVT1,background
LOC341315,background
KLHL8,background
PHKA2,background
ZNF689,background
PTPN1,background
CCDC16,background
WDR22,background
LOC644162,background
TM7SF3,background
HS.171171,background
ZNF275,background
RHOQ,background
DUSP3,background
PPTC7,background
LOC100133923,background
HNRPR,background
LOC651738,background
KTELC1,background
BICD2,background
SEPT6,background
PPP2R5E,background
SLC38A1,background
C20ORF177,background
MSL3,background
CD3G,background
MSL3L1,background
TTC14,background
C1ORF183,background
KCTD20,background
KCTD12,background
CCNY,background
TMEM154,background
SP100,background
M6PR,background
IGSF6,background
CNOT7,background
LOC649841,background
LOC338758,background
ZNF364,background
CTBS,background
HS.440088,background
LEPROT,background
C5ORF41,background
TOB1,background
LOC728873,background
RHOC,background
GYG1,background
PVRIG,background
SPINT2,background
FAM82A2,background
GFOD1,background
KIR2DL3,background
TUSC4,background
ABI3,background
PRKCH,background
TPST2,background
DDIT4,background
ADA,background
MACF1,background
ADRB2,background
MCOLN2,background
DGKQ,background
ATG16L1,background
SYTL2,background
SLC20A1,background
CD99,background
KLRG1,background
SYT11,background
SKAP1,background
STAT4,background
LOC441089,background
C20ORF3,background
APOBEC3G,background
PRKCQ,background
CD2,background
CD8A,background
CYB561D2,background
LYAR,background
CST7,background
SUMO3,background
LYPLAL1,background
S100A8,background
TCEB1,background
H2AFZ,background
GLRX,background
CLNS1A,background
PARL,background
COX7A2L,background
PSMC2,background
S100A12,background
ATG3,background
LOC647340,background
ANXA3,background
MAP2K1IP1,background
COX7A2,background
ATP5C1,background
VBP1,background
PHF5A,background
PSMD10,background
WDR61,background
COX17,background
UQCRQ,background
KLHDC2,background
ENY2,background
TXNDC17,background
LOC388654,background
TXN,background
RNF7,background
LOC441131,background
COMMD3,background
LOC100128353,background
COPS5,background
MRPL33,background
CNIH4,background
MRPL3,background
MYL6,background
ATP5H,background
RPSA,background
LY96,background
LOC100127993,background
TMEM14B,background
MRPL32,background
SF3B14,background
GGPS1,background
CKLF,background
UBE2E1,background
MRLC2,background
DUSP12,background
SRP19,background
SRP72,background
TMED10P,background
VPS29,background
DPM1,background
DPY30,background
RSL24D1,background
KLHL5,background
RWDD1,background
MDH1,background
LOC644863,background
ATP5O,background
SS18L2,background
NIF3L1,background
RPLP0,background
PSMA3,background
LOC650518,background
LOC100130553,background
LOC729841,background
ATP5L,background
ZNHIT3,background
C8ORF59,background
GAPT,background
PRDX1,background
RPL7,background
PSMA1,background
NDUFA4,background
SRP14P1,background
TMCO1,background
UQCRH,background
ATP5J,background
RPL24,background
RPS9,background
MRPL51,background
TMEM126B,background
HINT1,background
GMFG,background
LYRM5,background
SNRPB2,background
SRP14,background
ACN9,background
COX7C,background
GLO1,background
SSR2,background
RPS15A,background
UBL5,background
PSMA6,background
TBCA,background
RPL15,background
LSM1,background
POLE4,background
MITD1,background
LOC100130308,background
STX7,background
MGST3,background
C20ORF52,background
C17ORF61,background
MRPL11,background
MRPL23,background
NAT5,background
LOC440737,background
ATP5F1,background
LOC100132037,background
CRBN,background
PDCD10,background
LOC648000,background
RBX1,background
COX5A,background
NME1-NME2,background
ATP5EP2,background
RPL27A,background
DBI,background
LOC441506,background
LOC727865,background
CHMP5,background
UQCRFS1,background
LOC100130003,background
RBM6,background
RPS3,background
CCDC53,background
MRPS22,background
LOC389435,background
LOC388789,background
OSTC,background
ZCCHC9,background
SNRPG,background
LOC391126,background
PPCS,background
PSMA4,background
LOC100132742,background
ARPC3,background
POLR3GL,background
COX6C,background
RPL17,background
LOC389404,background
LOC728973,background
RPL9,background
GTF2E2,background
RPL35,background
ERH,background
FAM60A,background
LOC641814,background
LOC440595,background
COX6A1,background
SEC11C,background
PPA1,background
LOC387825,background
SEC11A,background
RPS27,background
LOC642250,background
CLIC1,background
RPS24,background
NAE1,background
C14ORF156,background
LOC728368,background
LOC643863,background
PRICKLE4,background
LOC388524,background
C12ORF47,background
LOC100133931,background
GPR65,background
RPL31,background
LOC644315,background
THOC7,background
LOC647361,background
CD48,background
LOC402057,background
LOC645387,background
LOC730754,background
VDAC3,background
LOC391656,background
LOC651436,background
LOC100130070,background
TMEM14D,background
CTSH,background
LOC645296,background
LOC653232,background
LOC729301,background
LOC644790,background
LOC440927,background
LOC644464,background
LOC401537,background
LOC100129902,background
PCNA,background
UBE2J1,background
LOC646942,background
RAN,background
LOC100129742,background
LOC653773,background
LOC441246,background
RPS18,background
CASP1,background
LOC124512,background
LOC646766,background
LOC439953,background
LOC100128196,background
UQCRHL,background
CCDC72,background
LOC100132488,background
TAX1BP1,background
LOC647030,background
LOC728324,background
KRCC1,background
ROMO1,background
ATP5I,background
LOC728126,background
USP16,background
RPL26,background
SNRPD2,background
LOC387930,background
LOC391532,background
LOC100129553,background
LOC650157,background
MTIF3,background
C7ORF23,background
RPL39,background
LOC646819,background
TRAPPC6B,background
NDUFS5,background
TOMM7,background
LOC728576,background
ITGAE,background
IL27RA,background
LOC730187,background
LOC728658,background
LOC730255,background
RPS17,background
ATP6V1G1,background
LOC100130892,background
RPL13A,background
RPS6P1,background
LOC648729,background
RPL23,background
LOC649049,background
LOC649076,background
MRPS21,background
LOC648622,background
LOC100128266,background
LOC653505,background
LOC643284,background
RPL5,background
RPS10,background
LOC134997,background
COQ5,background
NDUFA1,background
C17ORF95,background
LOC651202,background
MS4A6A,background
LOC402694,background
NDUFB5,background
LOC100129379,background
LOC284230,background
RPS3A,background
LOC100131387,background
LOC729768,background
NDUFB3,background
RPS6,background
LOC389141,background
LOC646785,background
LOC729340,background
LOC285900,background
LOC440063,background
LOC392285,background
LOC402251,background
PMPCB,background
METAP2,background
LOC391833,background
C1ORF59,background
CCT2,background
RPA3,background
LOC646567,background
LOC646483,background
C7ORF47,background
TIMM23,background
LOC646630,background
LOC128192,background
LOC645317,background
RPL35A,background
RPS13,background
LOC642989,background
RPL13,background
LOC642236,background
SNHG5,background
LOC388707,background
LOC729466,background
LOC341457,background
LOC642892,background
RDH14,background
LOC648249,background
LOC649150,background
FAU,background
COPS8,background
ZNF410,background
LOC441073,background
C8ORF76,background
LOC388339,background
DYNLT1,background
LOC647673,background
PSMB1,background
LOC285741,background
IGBP1,background
NSA2,background
COX5B,background
LOC442454,background
LOC100133812,background
NDUFV2,background
HMGB1L1,background
LOC388556,background
RPL27,background
RPS29,background
LOC387867,background
C16ORF61,background
ETFA,background
LOC440991,background
NOP58,background
EEF1B2,background
RPL30,background
CHCHD7,background
NME1,background
LOC653162,background
PPIL3,background
AIF1,background
LSM5,background
LOC729236,background
LOC652624,background
LTV1,background
TMEM218,background
LOC100134273,background
RNASE2,background
NDUFAB1,background
NDUFB2,background
MAPRE2,background
LOC647856,background
CD36,background
FRG1,background
ALG5,background
DDX1,background
